 #Energy          XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
 1.239842E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.971132E+04  4.29113089E+00  4.74338510E+00  4.30126029E+00  0.00000000E+00  0.00000000E+00  1.03187518E+04
 9.863500E+03  1.71480873E+01  1.89550066E+01  1.71886805E+01  0.00000000E+00  0.00000000E+00  1.81932962E+04
 6.573923E+03  3.89503224E+01  4.30118514E+01  3.86741506E+01  0.00000000E+00  0.00000000E+00  2.38925631E+04
 4.929789E+03  6.90648183E+01  7.62819893E+01  6.87371174E+01  0.00000000E+00  0.00000000E+00  2.83359298E+04
 3.944772E+03  1.08293529E+02  1.19553258E+02  1.07324342E+02  0.00000000E+00  0.00000000E+00  3.21084199E+04
 3.286962E+03  1.57040177E+02  1.73227057E+02  1.55206239E+02  0.00000000E+00  0.00000000E+00  3.55349702E+04
 2.817182E+03  2.13897792E+02  2.36746015E+02  2.11833529E+02  0.00000000E+00  0.00000000E+00  3.87619148E+04
 2.465385E+03  2.81339812E+02  3.10971749E+02  2.78095023E+02  0.00000000E+00  0.00000000E+00  4.18701297E+04
 2.191308E+03  3.57955763E+02  3.95234915E+02  3.54409253E+02  0.00000000E+00  0.00000000E+00  4.49249510E+04
 1.972072E+03  4.44863488E+02  4.91838845E+02  4.39823089E+02  0.00000000E+00  0.00000000E+00  4.79529700E+04
 1.792975E+03  5.40948364E+02  5.98680078E+02  5.36879476E+02  0.00000000E+00  0.00000000E+00  5.09718810E+04
 1.643481E+03  6.49206933E+02  7.18733028E+02  6.43460437E+02  0.00000000E+00  0.00000000E+00  5.40141503E+04
 1.517183E+03  7.68533155E+02  8.50869738E+02  7.60906521E+02  0.00000000E+00  0.00000000E+00  5.70720724E+04
 1.408751E+03  8.99384212E+02  9.97222739E+02  8.89671980E+02  0.00000000E+00  0.00000000E+00  6.01776796E+04
 1.314785E+03  1.04193021E+03  1.15646495E+03  1.03175019E+03  0.00000000E+00  0.00000000E+00  6.33264610E+04
 1.232692E+03  1.19823547E+03  1.33060477E+03  1.18568451E+03  0.00000000E+00  0.00000000E+00  6.65302804E+04
 1.160140E+03  1.36704148E+03  1.52246981E+03  1.35399449E+03  0.00000000E+00  0.00000000E+00  6.97995279E+04
 1.095654E+03  1.55280754E+03  1.72851255E+03  1.53713595E+03  0.00000000E+00  0.00000000E+00  7.31387424E+04
 1.038046E+03  1.75169222E+03  1.95323821E+03  1.73322114E+03  0.00000000E+00  0.00000000E+00  7.65414317E+04
 9.861146E+02  1.96896694E+03  2.19777143E+03  1.94752439E+03  0.00000000E+00  0.00000000E+00  8.00490597E+04
 9.391319E+02  2.20531996E+03  2.46273547E+03  2.18075650E+03  0.00000000E+00  0.00000000E+00  8.36404724E+04
 8.964873E+02  2.45875764E+03  2.75124704E+03  2.43091285E+03  0.00000000E+00  0.00000000E+00  8.73260876E+04
 8.574880E+02  2.73279528E+03  3.06199522E+03  2.70151712E+03  0.00000000E+00  0.00000000E+00  9.11341279E+04
 8.217404E+02  3.03082920E+03  3.40108796E+03  2.99317248E+03  0.00000000E+00  0.00000000E+00  9.50516077E+04
 7.889042E+02  3.35367253E+03  3.76949231E+03  3.30930028E+03  0.00000000E+00  0.00000000E+00  9.90888489E+04
 7.585451E+02  3.70269411E+03  4.16885737E+03  3.65130131E+03  0.00000000E+00  0.00000000E+00  1.03273114E+05
 7.304359E+02  4.08178471E+03  4.60311558E+03  4.02306943E+03  0.00000000E+00  0.00000000E+00  1.07611963E+05
 7.043756E+02  4.49511985E+03  5.07974312E+03  4.42555698E+03  0.00000000E+00  0.00000000E+00  1.12102640E+05
 6.800735E+02  4.94452613E+03  5.60108118E+03  4.86368041E+03  0.00000000E+00  0.00000000E+00  1.16774289E+05
 6.573923E+02  5.43801039E+03  6.17193966E+03  5.34204933E+03  0.00000000E+00  0.00000000E+00  1.21631579E+05
 6.362079E+02  5.98060537E+03  6.80078261E+03  5.86545593E+03  0.00000000E+00  0.00000000E+00  1.26700667E+05
 6.163155E+02  6.58585394E+03  7.49763604E+03  6.43981103E+03  0.00000000E+00  0.00000000E+00  1.32010727E+05
 5.976294E+02  7.25978394E+03  8.27580279E+03  7.07796023E+03  0.00000000E+00  0.00000000E+00  1.37556100E+05
 5.800701E+02  8.02017631E+03  9.14920381E+03  7.78597576E+03  0.00000000E+00  0.00000000E+00  1.43382587E+05
 5.634877E+02  8.90303008E+03  1.01532213E+04  8.58286845E+03  0.00000000E+00  0.00000000E+00  1.49508302E+05
