 #Energy          XX              YY             ZZ              XY              YZ              XZ
 1.239842E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.71286310E+00
 1.971132E+04  6.73096815E-04  7.44036358E-04  6.74685688E-04  0.00000000E+00  0.00000000E+00  1.61857542E+00
 9.863500E+03  1.34597448E-03  1.48780181E-03  1.34916069E-03  0.00000000E+00  0.00000000E+00  1.42801422E+00
 6.573923E+03  2.03763216E-03  2.25010543E-03  2.02318462E-03  0.00000000E+00  0.00000000E+00  1.24990634E+00
 4.929789E+03  2.70941358E-03  2.99254328E-03  2.69655787E-03  0.00000000E+00  0.00000000E+00  1.11161884E+00
 3.944772E+03  3.39949608E-03  3.75295585E-03  3.36907184E-03  0.00000000E+00  0.00000000E+00  1.00793139E+00
 3.286962E+03  4.10766966E-03  4.53106675E-03  4.05969969E-03  0.00000000E+00  0.00000000E+00  9.29481371E-01
 2.817182E+03  4.79525108E-03  5.30747220E-03  4.74897355E-03  0.00000000E+00  0.00000000E+00  8.68980985E-01
 2.465385E+03  5.51957929E-03  6.10092547E-03  5.45592008E-03  0.00000000E+00  0.00000000E+00  8.21446132E-01
 2.191308E+03  6.24198663E-03  6.89205569E-03  6.18014305E-03  0.00000000E+00  0.00000000E+00  7.83395527E-01
 1.972072E+03  6.98135497E-03  7.71855111E-03  6.90225472E-03  0.00000000E+00  0.00000000E+00  7.52538059E-01
 1.792975E+03  7.71827140E-03  8.54198964E-03  7.66021635E-03  0.00000000E+00  0.00000000E+00  7.27268696E-01
 1.643481E+03  8.49059035E-03  9.39988070E-03  8.41543536E-03  0.00000000E+00  0.00000000E+00  7.06418863E-01
 1.517183E+03  9.27877553E-03  1.02728545E-02  9.18669645E-03  0.00000000E+00  0.00000000E+00  6.89051534E-01
 1.408751E+03  1.00825331E-02  1.11793504E-02  9.97365429E-03  0.00000000E+00  0.00000000E+00  6.74620968E-01
 1.314785E+03  1.09014272E-02  1.20997724E-02  1.07949164E-02  0.00000000E+00  0.00000000E+00  6.62567218E-01
 1.232692E+03  1.17540345E-02  1.30525048E-02  1.16309164E-02  0.00000000E+00  0.00000000E+00  6.52625653E-01
 1.160140E+03  1.26206669E-02  1.40555971E-02  1.25002156E-02  0.00000000E+00  0.00000000E+00  6.44396383E-01
 1.095654E+03  1.35388293E-02  1.50707899E-02  1.34021897E-02  0.00000000E+00  0.00000000E+00  6.37692000E-01
 1.038046E+03  1.44698632E-02  1.61347350E-02  1.43172827E-02  0.00000000E+00  0.00000000E+00  6.32270917E-01
 9.861146E+02  1.54509763E-02  1.72464625E-02  1.52827113E-02  0.00000000E+00  0.00000000E+00  6.28165005E-01
 9.391319E+02  1.64811799E-02  1.84049421E-02  1.62976079E-02  0.00000000E+00  0.00000000E+00  6.25076494E-01
 8.964873E+02  1.75408228E-02  1.96274476E-02  1.73421775E-02  0.00000000E+00  0.00000000E+00  6.22985935E-01
 8.574880E+02  1.86476994E-02  2.08940519E-02  1.84342675E-02  0.00000000E+00  0.00000000E+00  6.21869423E-01
 8.217404E+02  1.98192039E-02  2.22404007E-02  1.95729590E-02  0.00000000E+00  0.00000000E+00  6.21561649E-01
 7.889042E+02  2.10540210E-02  2.36644960E-02  2.07754565E-02  0.00000000E+00  0.00000000E+00  6.22069892E-01
 7.585451E+02  2.23506073E-02  2.51645130E-02  2.20403845E-02  0.00000000E+00  0.00000000E+00  6.23388472E-01
 7.304359E+02  2.37258792E-02  2.67561795E-02  2.33845894E-02  0.00000000E+00  0.00000000E+00  6.25507866E-01
 7.043756E+02  2.51962366E-02  2.84731917E-02  2.48063198E-02  0.00000000E+00  0.00000000E+00  6.28362474E-01
 6.800735E+02  2.67590446E-02  3.03122235E-02  2.63215195E-02  0.00000000E+00  0.00000000E+00  6.31965192E-01
 6.573923E+02  2.84481981E-02  3.22876474E-02  2.79461911E-02  0.00000000E+00  0.00000000E+00  6.36298757E-01
 6.362079E+02  3.02784956E-02  3.44308734E-02  2.96955193E-02  0.00000000E+00  0.00000000E+00  6.41457741E-01
 6.163155E+02  3.23002064E-02  3.67720259E-02  3.15839415E-02  0.00000000E+00  0.00000000E+00  6.47444320E-01
 5.976294E+02  3.45259582E-02  3.93579236E-02  3.36612441E-02  0.00000000E+00  0.00000000E+00  6.54186986E-01
 5.800701E+02  3.70215442E-02  4.22331929E-02  3.59404624E-02  0.00000000E+00  0.00000000E+00  6.61861356E-01
 5.634877E+02  3.99220064E-02  4.55279790E-02  3.84863722E-02  0.00000000E+00  0.00000000E+00  6.70408991E-01
 5.478269E+02  4.32715432E-02  4.93166631E-02  4.13982591E-02  0.00000000E+00  0.00000000E+00  6.79812997E-01
 5.330361E+02  4.70084447E-02  5.36035073E-02  4.46845369E-02  0.00000000E+00  0.00000000E+00  6.90032851E-01
 5.190012E+02  5.09112022E-02  5.82853818E-02  4.83177367E-02  0.00000000E+00  0.00000000E+00  7.00857574E-01
 5.057070E+02  5.48806115E-02  6.32910238E-02  5.21640330E-02  0.00000000E+00  0.00000000E+00  7.12668465E-01
 4.930573E+02  5.89863261E-02  6.87480357E-02  5.62249360E-02  0.00000000E+00  0.00000000E+00  7.26416679E-01
 4.810250E+02  6.37540007E-02  7.49249960E-02  6.07734923E-02  0.00000000E+00  0.00000000E+00  7.42699439E-01
 4.695837E+02  6.97154257E-02  8.22571544E-02  6.61793850E-02  0.00000000E+00  0.00000000E+00  7.60688038E-01
 4.586571E+02  7.72121952E-02  9.13212442E-02  7.26126999E-02  0.00000000E+00  0.00000000E+00  7.80302086E-01
 4.482274E+02  8.67087129E-02  1.02690535E-01  8.02415340E-02  0.00000000E+00  0.00000000E+00  8.02390384E-01
 4.382770E+02  9.92181086E-02  1.17285342E-01  8.96471511E-02  0.00000000E+00  0.00000000E+00  8.26834605E-01
 4.287440E+02  1.16048861E-01  1.37004040E-01  1.01971906E-01  0.00000000E+00  0.00000000E+00  8.51282839E-01
 4.196169E+02  1.38203022E-01  1.64418228E-01  1.18408984E-01  0.00000000E+00  0.00000000E+00  8.71382268E-01
 4.108838E+02  1.65426391E-01  2.01737419E-01  1.39192044E-01  0.00000000E+00  0.00000000E+00  8.82188936E-01
 4.024938E+02  1.95925640E-01  2.47049494E-01  1.63549413E-01  0.00000000E+00  0.00000000E+00  8.85135815E-01
 3.944396E+02  2.27946088E-01  2.93913849E-01  1.91098809E-01  0.00000000E+00  0.00000000E+00  8.86830641E-01
 3.867134E+02  2.59390499E-01  3.39047569E-01  2.20955513E-01  0.00000000E+00  0.00000000E+00  8.92395852E-01
 3.792725E+02  2.86840693E-01  3.83357657E-01  2.51199940E-01  0.00000000E+00  0.00000000E+00  9.08328741E-01
 3.721126E+02  3.09758737E-01  4.23447847E-01  2.80533849E-01  0.00000000E+00  0.00000000E+00  9.44822902E-01
 3.652287E+02  3.33635489E-01  4.58092427E-01  3.11526750E-01  0.00000000E+00  0.00000000E+00  1.00200361E+00
 3.585845E+02  3.64802190E-01  4.95381387E-01  3.49618279E-01  0.00000000E+00  0.00000000E+00  1.06498117E+00
 3.521778E+02  4.06707828E-01  5.37530378E-01  3.99146529E-01  0.00000000E+00  0.00000000E+00  1.11617753E+00
 3.460056E+02  4.58832195E-01  5.82109083E-01  4.59945802E-01  0.00000000E+00  0.00000000E+00  1.13777263E+00
 3.400367E+02  5.18113542E-01  6.35362381E-01  5.28826538E-01  0.00000000E+00  0.00000000E+00  1.12565105E+00
 3.342703E+02  5.84950063E-01  7.05012879E-01  6.06548031E-01  0.00000000E+00  0.00000000E+00  1.08759600E+00
 3.287049E+02  6.58874824E-01  7.95455976E-01  6.94514381E-01  0.00000000E+00  0.00000000E+00  1.03070880E+00
 3.233133E+02  7.36237006E-01  9.11044408E-01  7.91456813E-01  0.00000000E+00  0.00000000E+00  9.65593543E-01
 3.181039E+02  8.11440890E-01  1.05205289E+00  8.88340711E-01  0.00000000E+00  0.00000000E+00  8.96168017E-01
 3.130519E+02  8.80589679E-01  1.21226213E+00  9.75291380E-01  0.00000000E+00  0.00000000E+00  8.25267672E-01
 3.081578E+02  9.46414877E-01  1.37204598E+00  1.05547027E+00  0.00000000E+00  0.00000000E+00  7.41253898E-01
 3.034217E+02  1.00092635E+00  1.49827725E+00  1.12859595E+00  0.00000000E+00  0.00000000E+00  6.47727094E-01
 2.988219E+02  1.04560361E+00  1.57451498E+00  1.19404085E+00  0.00000000E+00  0.00000000E+00  5.76172424E-01
 2.943594E+02  1.09616316E+00  1.62614957E+00  1.25730419E+00  0.00000000E+00  0.00000000E+00  5.26567694E-01
 2.900351E+02  1.15634770E+00  1.67897086E+00  1.31300257E+00  0.00000000E+00  0.00000000E+00  4.80499701E-01
 2.858293E+02  1.22619042E+00  1.73811823E+00  1.36308151E+00  0.00000000E+00  0.00000000E+00  4.32634531E-01
 2.817438E+02  1.30742235E+00  1.80248842E+00  1.42381998E+00  0.00000000E+00  0.00000000E+00  3.76472527E-01
 2.777797E+02  1.39645033E+00  1.86847269E+00  1.50280010E+00  0.00000000E+00  0.00000000E+00  3.14260472E-01
 2.739195E+02  1.47956188E+00  1.93284308E+00  1.58756432E+00  0.00000000E+00  0.00000000E+00  2.65691356E-01
 2.701652E+02  1.55120436E+00  2.00043596E+00  1.66263713E+00  0.00000000E+00  0.00000000E+00  2.56348117E-01
 2.665180E+02  1.61566603E+00  2.07704182E+00  1.71389125E+00  0.00000000E+00  0.00000000E+00  2.75759723E-01
 2.629625E+02  1.67952257E+00  2.14064710E+00  1.74804450E+00  0.00000000E+00  0.00000000E+00  2.72233517E-01
 2.595006E+02  1.74776246E+00  2.16494715E+00  1.78155309E+00  0.00000000E+00  0.00000000E+00  2.40935847E-01
 2.561339E+02  1.80978095E+00  2.14663254E+00  1.81279685E+00  0.00000000E+00  0.00000000E+00  2.12352072E-01
