 #Energy          XX              YY             ZZ              XY              YZ              XZ
 1.239842E+06  1.97499206E-01  2.00362440E-01  1.96658694E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
 1.971132E+04  1.97520352E-01  2.00383334E-01  1.96679917E-01  1.00000000E+00  1.00000000E+00  7.23621302E-01
 9.863500E+03  1.97578503E-01  2.00448608E-01  1.96735633E-01  1.00000000E+00  1.00000000E+00  5.55119095E-01
 6.573923E+03  1.97676273E-01  2.00555629E-01  1.96833754E-01  1.00000000E+00  1.00000000E+00  4.58461135E-01
 4.929789E+03  1.97810967E-01  2.00704325E-01  1.96968938E-01  1.00000000E+00  1.00000000E+00  4.03277503E-01
 3.944772E+03  1.97987801E-01  2.00897233E-01  1.97141120E-01  1.00000000E+00  1.00000000E+00  3.72084212E-01
 3.286962E+03  1.98201424E-01  2.01131651E-01  1.97355510E-01  1.00000000E+00  1.00000000E+00  3.55259817E-01
 2.817182E+03  1.98456962E-01  2.01412628E-01  1.97609343E-01  1.00000000E+00  1.00000000E+00  3.47486455E-01
 2.465385E+03  1.98751701E-01  2.01737423E-01  1.97899875E-01  1.00000000E+00  1.00000000E+00  3.45587471E-01
 2.191308E+03  1.99088081E-01  2.02108420E-01  1.98234861E-01  1.00000000E+00  1.00000000E+00  3.47584857E-01
 1.972072E+03  1.99465943E-01  2.02522860E-01  1.98608841E-01  1.00000000E+00  1.00000000E+00  3.52209274E-01
 1.792975E+03  1.99885060E-01  2.02985619E-01  1.99026915E-01  1.00000000E+00  1.00000000E+00  3.58682927E-01
 1.643481E+03  2.00347869E-01  2.03496462E-01  1.99486184E-01  1.00000000E+00  1.00000000E+00  3.66428800E-01
 1.517183E+03  2.00856686E-01  2.04055044E-01  1.99989040E-01  1.00000000E+00  1.00000000E+00  3.75046327E-01
 1.408751E+03  2.01408616E-01  2.04661055E-01  2.00535199E-01  1.00000000E+00  1.00000000E+00  3.84131394E-01
 1.314785E+03  2.02005938E-01  2.05321740E-01  2.01126990E-01  1.00000000E+00  1.00000000E+00  3.93591899E-01
 1.232692E+03  2.02648338E-01  2.06034122E-01  2.01766621E-01  1.00000000E+00  1.00000000E+00  4.03248558E-01
 1.160140E+03  2.03343120E-01  2.06800303E-01  2.02453734E-01  1.00000000E+00  1.00000000E+00  4.12949042E-01
 1.095654E+03  2.04084766E-01  2.07622184E-01  2.03190482E-01  1.00000000E+00  1.00000000E+00  4.22631605E-01
 1.038046E+03  2.04880406E-01  2.08501770E-01  2.03978912E-01  1.00000000E+00  1.00000000E+00  4.32143176E-01
 9.861146E+02  2.05727024E-01  2.09440904E-01  2.04818582E-01  1.00000000E+00  1.00000000E+00  4.41522202E-01
 9.391319E+02  2.06629134E-01  2.10441347E-01  2.05711483E-01  1.00000000E+00  1.00000000E+00  4.50740380E-01
 8.964873E+02  2.07588553E-01  2.11507311E-01  2.06662014E-01  1.00000000E+00  1.00000000E+00  4.59759086E-01
 8.574880E+02  2.08607123E-01  2.12642754E-01  2.07672030E-01  1.00000000E+00  1.00000000E+00  4.68550457E-01
 8.217404E+02  2.09689113E-01  2.13846752E-01  2.08740740E-01  1.00000000E+00  1.00000000E+00  4.76975330E-01
 7.889042E+02  2.10836111E-01  2.15125543E-01  2.09874875E-01  1.00000000E+00  1.00000000E+00  4.85178345E-01
 7.585451E+02  2.12052080E-01  2.16480279E-01  2.11075942E-01  1.00000000E+00  1.00000000E+00  4.93086622E-01
 7.304359E+02  2.13338437E-01  2.17919302E-01  2.12347887E-01  1.00000000E+00  1.00000000E+00  5.00630512E-01
 7.043756E+02  2.14698944E-01  2.19445937E-01  2.13691971E-01  1.00000000E+00  1.00000000E+00  5.07930095E-01
 6.800735E+02  2.16141983E-01  2.21065533E-01  2.15116743E-01  1.00000000E+00  1.00000000E+00  5.14841420E-01
 6.573923E+02  2.17670953E-01  2.22783232E-01  2.16623173E-01  1.00000000E+00  1.00000000E+00  5.21315657E-01
 6.362079E+02  2.19291382E-01  2.24606306E-01  2.18216928E-01  1.00000000E+00  1.00000000E+00  5.27522862E-01
 6.163155E+02  2.21008704E-01  2.26543963E-01  2.19905793E-01  1.00000000E+00  1.00000000E+00  5.33329716E-01
 5.976294E+02  2.22832615E-01  2.28602721E-01  2.21697379E-01  1.00000000E+00  1.00000000E+00  5.38552690E-01
 5.800701E+02  2.24767967E-01  2.30793223E-01  2.23594043E-01  1.00000000E+00  1.00000000E+00  5.43338365E-01
 5.634877E+02  2.26817448E-01  2.33123809E-01  2.25607521E-01  1.00000000E+00  1.00000000E+00  5.47426229E-01
 5.478269E+02  2.28973923E-01  2.35597555E-01  2.27737690E-01  1.00000000E+00  1.00000000E+00  5.50725356E-01
 5.330361E+02  2.31222907E-01  2.38203504E-01  2.29983781E-01  1.00000000E+00  1.00000000E+00  5.53255501E-01
 5.190012E+02  2.33580489E-01  2.40956110E-01  2.32344603E-01  1.00000000E+00  1.00000000E+00  5.55127154E-01
 5.057070E+02  2.36084566E-01  2.43888041E-01  2.34833556E-01  1.00000000E+00  1.00000000E+00  5.57207997E-01
 4.930573E+02  2.38796293E-01  2.47044016E-01  2.37497060E-01  1.00000000E+00  1.00000000E+00  5.59639183E-01
 4.810250E+02  2.41773069E-01  2.50471279E-01  2.40378972E-01  1.00000000E+00  1.00000000E+00  5.60890745E-01
 4.695837E+02  2.45014178E-01  2.54213555E-01  2.43485191E-01  1.00000000E+00  1.00000000E+00  5.59690862E-01
 4.586571E+02  2.48519804E-01  2.58299375E-01  2.46817484E-01  1.00000000E+00  1.00000000E+00  5.56517729E-01
 4.482274E+02  2.52325213E-01  2.62758164E-01  2.50418945E-01  1.00000000E+00  1.00000000E+00  5.51146229E-01
 4.382770E+02  2.56451955E-01  2.67652580E-01  2.54338581E-01  1.00000000E+00  1.00000000E+00  5.41008950E-01
 4.287440E+02  2.60834390E-01  2.73016380E-01  2.58593081E-01  1.00000000E+00  1.00000000E+00  5.23568572E-01
 4.196169E+02  2.65301481E-01  2.78750819E-01  2.63094140E-01  1.00000000E+00  1.00000000E+00  4.98360804E-01
 4.108838E+02  2.69600644E-01  2.84481724E-01  2.67665021E-01  1.00000000E+00  1.00000000E+00  4.69617118E-01
 4.024938E+02  2.73564307E-01  2.89597782E-01  2.72208879E-01  1.00000000E+00  1.00000000E+00  4.45371687E-01
 3.944396E+02  2.77162519E-01  2.93877077E-01  2.76697132E-01  1.00000000E+00  1.00000000E+00  4.29640774E-01
 3.867134E+02  2.80348209E-01  2.97730565E-01  2.81057482E-01  1.00000000E+00  1.00000000E+00  4.22930275E-01
 3.792725E+02  2.83286456E-01  3.01321187E-01  2.85307778E-01  1.00000000E+00  1.00000000E+00  4.26625021E-01
 3.721126E+02  2.86625028E-01  3.04577342E-01  2.89770255E-01  1.00000000E+00  1.00000000E+00  4.37757716E-01
 3.652287E+02  2.90949280E-01  3.08247869E-01  2.94917048E-01  1.00000000E+00  1.00000000E+00  4.41029646E-01
 3.585845E+02  2.96233803E-01  3.12885371E-01  3.00903654E-01  1.00000000E+00  1.00000000E+00  4.24881580E-01
 3.521778E+02  3.02073392E-01  3.18028178E-01  3.07434067E-01  1.00000000E+00  1.00000000E+00  3.90070352E-01
