 #Energy          XX              YY             ZZ              XY              YZ              XZ
 1.239842E+06  2.59976922E+00  2.62068693E+00  2.59364608E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.971132E+04  2.59992316E+00  2.62083967E+00  2.59380039E+00  0.00000000E+00  0.00000000E+00  2.97298473E-01
 9.863500E+03  2.60034648E+00  2.62131689E+00  2.59420543E+00  0.00000000E+00  0.00000000E+00  4.65751665E-01
 6.573923E+03  2.60105828E+00  2.62209936E+00  2.59491890E+00  0.00000000E+00  0.00000000E+00  5.27319510E-01
 4.929789E+03  2.60203907E+00  2.62318679E+00  2.59590201E+00  0.00000000E+00  0.00000000E+00  5.36559817E-01
 3.944772E+03  2.60332702E+00  2.62459789E+00  2.59715447E+00  0.00000000E+00  0.00000000E+00  5.24142817E-01
 3.286962E+03  2.60488327E+00  2.62631311E+00  2.59871439E+00  0.00000000E+00  0.00000000E+00  5.03721768E-01
 2.817182E+03  2.60674567E+00  2.62836987E+00  2.60056197E+00  0.00000000E+00  0.00000000E+00  4.80965645E-01
 2.465385E+03  2.60889449E+00  2.63074841E+00  2.60267742E+00  0.00000000E+00  0.00000000E+00  4.58338028E-01
 2.191308E+03  2.61134811E+00  2.63346682E+00  2.60511769E+00  0.00000000E+00  0.00000000E+00  4.36816382E-01
 1.972072E+03  2.61410572E+00  2.63650518E+00  2.60784348E+00  0.00000000E+00  0.00000000E+00  4.16789551E-01
 1.792975E+03  2.61716632E+00  2.63990018E+00  2.61089231E+00  0.00000000E+00  0.00000000E+00  3.98270958E-01
 1.643481E+03  2.62054805E+00  2.64365057E+00  2.61424383E+00  0.00000000E+00  0.00000000E+00  3.81218586E-01
 1.517183E+03  2.62426868E+00  2.64775481E+00  2.61791604E+00  0.00000000E+00  0.00000000E+00  3.65502416E-01
 1.408751E+03  2.62830776E+00  2.65221134E+00  2.62190760E+00  0.00000000E+00  0.00000000E+00  3.51160149E-01
 1.314785E+03  2.63268282E+00  2.65707478E+00  2.62623619E+00  0.00000000E+00  0.00000000E+00  3.37927978E-01
 1.232692E+03  2.63739230E+00  2.66232424E+00  2.63091909E+00  0.00000000E+00  0.00000000E+00  3.25761022E-01
 1.160140E+03  2.64249111E+00  2.66797630E+00  2.63595452E+00  0.00000000E+00  0.00000000E+00  3.14557942E-01
 1.095654E+03  2.64793944E+00  2.67404696E+00  2.64135943E+00  0.00000000E+00  0.00000000E+00  3.04222101E-01
 1.038046E+03  2.65379151E+00  2.68055224E+00  2.64715035E+00  0.00000000E+00  0.00000000E+00  2.94731254E-01
 9.861146E+02  2.66002608E+00  2.68750766E+00  2.65332500E+00  0.00000000E+00  0.00000000E+00  2.85991736E-01
 9.391319E+02  2.66667801E+00  2.69492834E+00  2.65989955E+00  0.00000000E+00  0.00000000E+00  2.77885989E-01
 8.964873E+02  2.67376283E+00  2.70284762E+00  2.66690846E+00  0.00000000E+00  0.00000000E+00  2.70391337E-01
 8.574880E+02  2.68129591E+00  2.71129795E+00  2.67436718E+00  0.00000000E+00  0.00000000E+00  2.63479750E-01
 8.217404E+02  2.68931084E+00  2.72027474E+00  2.68227200E+00  0.00000000E+00  0.00000000E+00  2.57174812E-01
 7.889042E+02  2.69782195E+00  2.72982783E+00  2.69067494E+00  0.00000000E+00  0.00000000E+00  2.51338318E-01
 7.585451E+02  2.70686157E+00  2.73996957E+00  2.69958993E+00  0.00000000E+00  0.00000000E+00  2.45994283E-01
 7.304359E+02  2.71644306E+00  2.75076642E+00  2.70904907E+00  0.00000000E+00  0.00000000E+00  2.41164033E-01
 7.043756E+02  2.72659767E+00  2.76224740E+00  2.71906516E+00  0.00000000E+00  0.00000000E+00  2.36726422E-01
 6.800735E+02  2.73739220E+00  2.77445830E+00  2.72970563E+00  0.00000000E+00  0.00000000E+00  2.32765984E-01
 6.573923E+02  2.74885600E+00  2.78744372E+00  2.74098176E+00  0.00000000E+00  0.00000000E+00  2.29294806E-01
 6.362079E+02  2.76103546E+00  2.80126498E+00  2.75294058E+00  0.00000000E+00  0.00000000E+00  2.26203522E-01
 6.163155E+02  2.77397608E+00  2.81599932E+00  2.76564595E+00  0.00000000E+00  0.00000000E+00  2.23571349E-01
